Date,Major News
44938,CPI
44958,FOMC
44971,CPI
44999,CPI
45007,FOMC
45028,CPI
45049,FOMC
45056,CPI
45090,CPI
45091,FOMC
45119,CPI
45133,FOMC
45148,CPI
45182,CPI
45189,FOMC
45211,CPI
45231,FOMC
45244,CPI
45272,CPI
45273,FOMC
45302,CPI
45335,CPI
45363,CPI
45392,CPI
45413,FOMC
45427,CPI
45455,CPI
45455,FOMC
45484,CPI
45504,FOMC
45518,CPI
45546,CPI
45553,FOMC
45575,CPI
45603,FOMC
45609,CPI
45637,CPI
45644,FOMC
45672,CPI
45686,FOMC
45700,CPI
45728,CPI
45728,CPI
45735,FOMC
45757,CPI
45786,FOMC
